Unique ID,First Line,Universe(s),World(s),Solar Bodies,Meteorological & Atmospheric Phenomena,Inorganic Matter,Nature,Landforms,Flora,Fauna,Environmental Phenomena: Specific
H 134,Tis not that Dying hurts us so -,,,,YES,,,,,YES,bird;frost;snow;
H 175,"Twas awkward, but it fitted me -",,,YES,,,,,,YES,sun;bird;
H 140,Heaven has different Signs - to me -,,YES,YES,YES,,,YES,YES,YES,sun;hill;orchard;bird;cloud;world;
H 46,Hope is the thing with feather -,,,,YES,,,YES,,YES,land;sea;bird;gale;storm;
A Tr47,Mama never forgets her birds -,,,,,,,,YES,YES,tree;bird;sparrow;
H 119,Nature - is what We see -,,,,YES,,YES,YES,,YES,hill;sea;squirrel;bobolink;cricket;bumble bee;eclipse;thunder;nature;
H 293,Nature is what we see,,,,YES,,YES,YES,,YES,hill;sea;squirrel;bobolink;cricket;bumble bee;eclipse;thunder;nature;
A 104,A Field of Stubble - lying sere,,,YES,,,,,YES,YES,sun;field;bird;
A 96,A Bird came down the Walk,,,,YES,,,YES,YES,YES,ocean;bank;grass;bird;beetle;butterfly;angleworm;dew;
AM 1891,A bird came down the walk;,,,,YES,,,YES,YES,YES,ocean;bank;grass;bird;beetle;buttterfliy;angleworm;dew;
A 85-9/10,A bird came down the walk,,,,YES,,,YES,YES,YES,ocean;bank;grass;bird;beetle;butterfly;angleworm;dew;
A 90-11/12,"A bold, inspiriting Bird",,,,,,,,YES,YES,bough;bird;jay;
H 159,A Drop fell on the Apple Tree,,,,YES,,YES,YES,YES,YES,brook;sea;orchard;meadow;apple tree;bush;bird;rain;sunhine;breeze;nature;
A 796,A feather from the Whippowil,,,,,,,,,YES,whippowil;
H B85,"A - Field of Stubble, lying sere",,,YES,,,,,YES,YES,sun;field;bird;
H 9,A Lady red - amid the Hill,,,,YES,,,YES,YES,YES,hill;vale;landscape;woods;orchard;tree;hedge;lily;buttercup;bird;breeze;
H 227,"A Lady red, amid the Hill",,,,YES,,,YES,YES,YES,hill;vale;landscpe;woods;orchard;tree;hedge;lily;buttercup;bird;breeze;
H ST25b,A lane of Yellow leads the eye,,,,,,,,YES,YES,wood;flower;soft inhabitants;bird;
H 32,A Mien to move a Queen,,,,YES,,,,,YES,wren;snow;
H 173,A Murmur in the tree - to note -,,,YES,YES,,,,YES,YES,star;tree;robin;wind;
A 109,A Pang is more conspicuous in Spring,,,,YES,YES,,,,YES,bird;blue bird;wind;stone;
H 235,A prompt - executive Bird is the Jay -,,,,,,,,YES,YES,bough;bird;jay;
H 208,A prompt - executive Bird is the Jay -,,,,,,,,YES,YES,bough;bird;jay;
A 32,A Route of Evanescence,,,,,,,,YES,YES,jasmin;blossom;bush;humming bird;cochineal;
A 766,A Route of Evanescence,,,,,,,,YES,YES,indian pipe;blossom;bush;humming bird;cochineal;
A 816,A Route of Evanescence,,,,,,,,YES,YES,blossom;bush;oriole;humming bird;cochineal;
Forbes_Fr1489A,A Route of Evanescence,,,,,,,,YES,YES,blossom;bush;humming bird;cochineal;
A Tr45–Fr1489C,A route of evanescence,,,,,,,,YES,YES,blossom;bush;humming bird;cochineal;
A 833ff,A Route of Evanescence,,,,,,,,YES,YES,blossom;bush;humming bird;cochineal;
BPL 102,A Route of Evanescence,,,,,,,,YES,YES,blossom;bush;humming bird;cochineal;
A 114,A Sparrow took a slice of Twig,,,YES,YES,,YES,,YES,YES,firmament;twig;sparrow;sky;nature;
H 237,A Sparrow took a Slice of Twig,,,,YES,,YES,,YES,YES,twig;sparrow;sky;nature;
Poems 1890,A train went through a burial gate,,,,,,,,,YES,bird;
A 118,A Wind that rose,,,,YES,,,,YES,YES,forest;leaf;bird;wind;cold;swell;
A 119,A Wind that rose,,,,YES,,,,YES,YES,forest;leaf;bird;wind;cold;swell;
H B190,A Wind that rose,,,,YES,,,,YES,YES,forest;leaf;bird;wind;cold;swell;
BPL 52,A Wind that woke a lone Delight,,,,YES,,YES,,YES,YES,rose;field lillies;posies;bird;bee;breeze;wind;swell;nature;
A 94-1/2,After all Birds have been investigated,,,,YES,,YES,,,YES,bird;blue bird;wind;nature;
BPL 84,After all Birds have been investigated,,,,YES,,YES,,,YES,bird;blue bird;wind;nature;
H 69,"Ah, Moon - and Star!",,,YES,,,,,,YES,moon;star;firmament;anteloep;lark;chamois;
H 36,"Ah, Moon, and Star!",,,YES,,,,,,YES,moon;star;firmament;antelope;lark;chamois;
H 5,All overgrown by cunning moss,,,,YES,,,YES,YES,YES,hill;moss;weed;asphodel;bird;nightingale;frost;
H 73,All the letters I can write,,,,,,,,,YES,humming bird;
Y-BRBL–Fr380A,All the letters I could write,,,,,,,,,YES,humming bird;
A 130,An Antiquated Tree,,,,,,,,YES,YES,tree;foliage;bird;crow;
H H59,An Antiquated Tree,,,,YES,,,,YES,YES,tree;foliage;blue bird;crow;bird;hurricane;north wind;
H 82,An awful Tempest mashed the Air -,,,YES,YES,,,YES,,YES,earth;coast;bird;creature;monster;tempest;air;cloud;
BPL 110,and then he lifted up his Throat,YES,,,YES,,,,,YES,bird;light;universe
H 95,Answer July -,,,,YES,,,,YES,YES,seed;bud;maize;bur;jay;bee;snow;haze;
A 137,As from the Earth the light Balloon,,,YES,,YES,,,,YES,earth;bird;dust;
H 17,As if some little Arctic flower,,,YES,,,,YES,YES,YES,firmament;sun;continent;polar hem;flower;bird;
MSA138_Fr935C,As imperceptibly as Grief,,,,,,YES,,,YES,wing;nature;
MSBPL29_Fr935D,As imperceptiblly as Grief,,,,,,YES,,,YES,wing;nature;
MSIOWA_Fr935E,As imperceptibly as Grief,,,,,,YES,,,YES,wing;nature;
Fr935[A],As imperceptibly as grief,,,,,,,,,,
A 92-5/6,As imperceptibly as Grief,,,,YES,,YES,YES,YES,YES,hill;maple;flower;bird;cricket;wing;wind;nature;
A 142,At Half past Three,,,YES,YES,,,,,YES,circumference;bird;sky;
H 191,At Half past Three,,,YES,YES,,,,,YES,circumference;bird;sky;
H H97,At Half past Three,,,YES,YES,,,,,YES,circumference;bird;sky;
A 87-9/10,Because the Bee may blameless hum,,,,,,,,YES,YES,flower;petal;robin;bee;wing;
A 88-7/8,Bee! I'm expecting you!,,,,,,,,YES,YES,clover;bird;bee;frog;fly;
Harvard–Fr336A,Before I got my eye put out,,,YES,YES,,,YES,,YES,star;sun;mountain;creature;bird;sky;
H 171,Before I got my eye put out,,,YES,YES,,,YES,YES,YES,star;sun;mountain;meadow;forest;creature;bird;sky;lightning;
A 150,Before you thought of Spring,,,,YES,,,,YES,YES,tree;leaf;blue bird;sky;
A Tr44–Fr1484B,Before you thought of Spring,,,,YES,,,,YES,YES,tree;leaf;blue bird;sky;
AAS–Fr1484C,Before you thought of Spring,,,,YES,,,,YES,YES,tree;leaf;fellow in the sky;sky;
Fr1484[D],Before you thought of spring,,,,,,,,,YES,blue bird;
H 27,Better - than Music!,,,,,,,YES,,YES,brook;bird;
H 10,Bring me the sunset in a cup -,,,YES,YES,,,YES,YES,YES,spheres;stalactite;bough;robin;mullet;bee;dew;rainbow;
